id,title,color,picture,desc
JKKHDCSN6G4V63BVBNTOKOXX,Caring Others,FF4F98,images\Products\Sewing\CareMask_1.jpg,I have plain mask for daily use. <br>I am putting this item at cost in order to encourage people to wear them.
EQUHVNBVYZGVEDBYGNZFIB65,Dongri,C4A3CF,Dongri.jpg,"I wanted to make a hat which covers light like feathers. When I thought of the shape, only the shape which came to my mind was ""acorn"". This hat series will be called ""Dongri (acorn)"" reminiscing that God cares for feeding little creatures such as squirrels. I hope that we can share the reminder of God's kindness and provision."
XCI473HOE6E5TEOTS3XAY2OB,Honwari,FFCB88,Honwari.jpg,"Note: ""in"" means the flower pattern with three bands, ""&"" means the flower pattern with 7 stripes"
KFY32IDKZABZTH5RM4N27ZLT,Neck Warmers: Mamotte Ageru,3EB3C8,MamotteAgeru.jpg,"""Mamotte Ageru"" means I will protect you."
DYMDL5LBYLXC46EYLPT76QZ6,A Shape of a Hug,62AB42,ShapeOfHug.jpg,I have been thinking of how to make a hug for a long time. How can I send a hug to the friends how are far a way. This is what came out from those thought.
HUOA7FSTHWH6YEOWUTSVEABP,A Shape Of Prayers,ffa89e,AShapeOfPrayer.jpeg,
53K3J566MVBHXG6P4L2YRXOT,Shape of Hug,1fb592,TsumugiSOH.jpg,"Tsumugi also means ""to put together the thoughts and emotions"" "
YL5VDTUP7Z5WFVIN2LZDMQIQ,Tsunagu,3A34AD,Tsunagu.jpg,"""Tsunagu"" means connecting. Relationship starts with connecting with others. That is how we cultivate culture and how our lives are built, with dots of people and dots of events, dots of memories, dots of emotions... I am making this series to think of how each of us connect the ""dots"".  It never be like the following the templates, all of them are unique and “straight” in their own way so I stitched ""straight"" without using a ruler but using my hands to guide the dots. I hope these will bless you daily. Life become a bit of reminder that we are connected by the loving hand of God."
VT5AIBIOKYE4X2L6UHZDOGMB,Hand Mitts: Te O Tsunago,B04D30,TeOTsunago.jpg,Te o tsunago means let's hold hand. I like fingerless mitts because you can hold things better.
,,,,
,,,,
,,,,
,,,,
